19/01/2013;TRISTESSE CONTEMPORAINE + WINTER FAMILY
24/01/2013;CARTE BLANCHE A MUSIQUE EN HERBE
25/01/2013;Sortie d'album > LISA A PEUR + Personne
30/01/2013;ISAMUSIK > NASTEEN + AcrossTime + M.I.L.F
01/02/2013;FESTIVAL TENDANCE: JIL IS LUCKY + Well Respected Dj Set
02/02/2013;Sortie d'album > SOBO + O Safari
07/02/2013;MAI LAN + KINS
09/02/2013;GONZAÏ #2: JACK OF HEART + Losers in the Sun
13/02/2013;LES NUITS DE L'ALLIGATOR: GALLON DRUNK + HOUNDMOUTH + MOLLY GENE
14/02/2013;LESCOP + Weekend Affair
19/02/2013;BRUITS DE LUNE : INFECTED SOCIETY + ELECRACK
21/02/2013;CONCRETE KNIVES + Thomas Albert Francisco
28/02/2013;MONO + Chris Brokaw
01/03/2013;FAEP'STIVAL : Tremplin
02/03/2013;FAEP'STIVAL : THE AERIAL + Good Night Junkee + Vainqueur Tremplin
08/03/2013;GREMS / PMPDJ + Turnsteak + DJ Tom Case
11/03/2013;FILLS MONKEY
12/03/2013;FILLS MONKEY
19/03/2013;BRUITS DE LUNE: JOHN PDF + LIESA VAN DER AA
20/03/2013;LES FEMMES S'EN MÊLENT : MESPARROW + Liesa Van Der AA
26/03/2013;UNCOMMONMENFROMMARS + Inside Riot + No Name for All
28/03/2013;LES FEMMES S'EN MÊLENT: SKIP&DIE + Phoebe Jean and The Air Force
03/04/2013;MAIN SQUARE + I LOVE MY NEIGHBOURS + TOPSY TURVY
04/04/2013;JUVENILES + Camilla Sparksss + Paul Thomas Saunders
05/04/2013;YOUR OWN FILM + MORNING GLORY + RECTO VERSO
10/04/2013;FAIR - LE TOUR : ALINE + PENDENTIF
11/04/2013;*EXPO* Sortie d'album : Judas Donneger + Bonne Humeur Provisoire + Missfist
12/04/2013;SLAGSMALSKLUBBEN + My Disco Jacket + Herman Lauscher
16/04/2013;BRUITS DE LUNE
20/04/2013;THE SOFT MOON + The Neutrinos
25/04/2013;CITE CARTER : L'ARENE HUMAINE + Same Side
30/04/2013;BALADE URBAINE : SOBO
02/05/2013;THE WACKIDS
03/05/2013;THE WACKIDS
04/05/2013;BLAZING WAR MACHINE + Dylath-Leen + Speed Science
11/05/2013;THEE OH SEES + Räpe Blossoms
17/05/2013;SETH GUEKO + Beyond The Noize
27/05/2013;TilT ! - a.lter s.essio - EXTENSION(S)
28/05/2013;TilT ! - BRUITS DE LUNE
29/05/2013;Tilt ! - DAVID MARTIN ANGOR & PLEXUS DARIUS
30/05/2013;TilT ! - GREAT MOUNTAIN FIRE + Lena Deluxe
31/05/2013;Tilt ! - HUGO CECHOSZ & RICHARD ALLEN
31/05/2013;Tilt ! - SPITZER + YAN WAGNER + ARNE VINZON
01/06/2013;THURSTON MOORE (Sonic Youth) - ANNE-JAMES CHATON & ANDY MOOR (The Ex) + PAPIER TIGRE
14/06/2013;LE RAP D'AMIENS SUD À LA LUNE
15/06/2013;"OUROUB' ""Twentinial"" + Tchiklala"
06/09/2013;RENDEZ-VOUS DU FLEUVE : NAIVE NEW BEATERS + AUFGANG + NASTEEN
24/09/2013;IS TROPICAL + Roomonfire
26/09/2013;GONZAÏ #3: THE FEELING OF LOVE + Bed Rugs
03/10/2013;Concert de rentrée étudiants:: SARAH W. PAPSUN + Sweet Haze
04/10/2013;MOTORAMA + Carl et Les Hommes-Boîtes
10/10/2013;Expo-Concert : Cheap Wine + The Yokel
12/10/2013;NUIT BLANCHE: BRIGHTON WORLD DJING
15/10/2013;BRUITS DE LUNE
22/10/2013;ERIC SARDINAS + P*M*C*B
01/11/2013;WOLVES & MOONS + Erevan Tusk + Clockwork Of The Moon
07/11/2013;THE EXCITEMENTS + Cargo Culte
09/11/2013;Sorties d'album : ANORAK + Infected Society + Taman Shud
12/11/2013;BRUITS DE LUNE : AIDAN SIMPSON
